order_id;date_commande;client;produit;categorie;quantite;prix_unitaire;montant_total;region;mode_paiement
100024;2025-03-23;Monnier;Clavier mécanique;Informatique;4;77.83;311.32;Bretagne;Virement
100025;12/11/2025;Gillet SA;"Écran 27""";;8;131.78;1054.24;Île-de-France;Chèque
100026;2026-07-09;Vallet Guilbert S.A.S.;Café 1kg;Consommables;12;523.79;6285.48;Bretagne;Chèque
100027;2024-09-17;Letellier;Ramette papier A4;Bureau;6;435.11;2610.66;Île-de-France;Virement
100028;2026-02-19;Verdier;Cartouche encre;Bureau;27;844.17;22792.59;Occitanie;Carte
100029;2026-03-22;Gillet SA;Switch 8 ports;Réseau;38;469.56;17843.28;Auvergne-Rhône-Alpes;Virement
100030;2024-12-06;Meunier;Bloc-notes;Bureau;1;127.94;127.94;Auvergne-Rhône-Alpes;Virement
100031;2026-02-20;Meyer;Lingettes écran;Consommables;5;594.16;2970.8;Grand Est;Prélèvement
100032;28/07/2026;Joly;Ramette papier A4;Bureau;24;208.73;5009.52;Île-de-France;Chèque
100033;2025-10-31;Duhamel Wagner SARL;Bureau assis-debout;Mobilier;13;727.81;9461.53;Auvergne-Rhône-Alpes;Prélèvement
100034;2026-04-15;Fischer Muller SA;Café 1kg;Consommables;25;231.86;5796.5;Île-de-France;Virement
100035;2025-04-04;Hoareau SA;Chaise ergonomique;Mobilier;12;893.15;10717.8;Île-de-France;Chèque
100036;2026-04-28;Meunier;Point d'accès WiFi;Réseau;9;467.93;4211.37;Île-de-France;Prélèvement
100037;2026-01-19;Barre;Agrafeuse;Bureau;16;86.83;1880.66;Auvergne-Rhône-Alpes;Carte
100038;2025-05-31;Robert;Souris sans fil;Informatique;37;112.24;8181.82;Grand Est;Virement
100039;2024-12-04;Bousquet;Café 1kg;Consommables;15;787.36;11810.4;Auvergne-Rhône-Alpes;
100040;24/04/2025;Letellier;Point d'accès WiFi;Réseau;13;451.67;5871.71;Grand Est;Virement
100041;12/08/2025;Rey Bodin S.A.S.;Ordinateur portable;;11;610.54;6715.94;Auvergne-Rhône-Alpes;Chèque
100042;2025-01-09;Bousquet;Point d'accès WiFi;Réseau;30;181.4;5442.0;Île-de-France;Chèque
100043;2025-08-27;Rey Bodin S.A.S.;Clavier mécanique;Informatique;33;113.13;3733.29;Île-de-France;Carte
100044;2024-09-11;Verdier;Switch 8 ports;Réseau;6;597.25;3583.5;Occitanie;Carte
100045;2026-03-23;Laurent et Fils;Point d'accès WiFi;Réseau;20;500.57;10011.4;Grand Est;Virement
100046;2026-07-21;Regnier;Café 1kg;Consommables;30;869.68;26090.4;Île-de-France;Prélèvement
100047;21/03/2026;Techer;Lingettes écran;Consommables;17;706.72;12014.24;Bretagne;Virement
100048;2025-04-01;David Gomes S.A.R.L.;Bloc-notes;Bureau;10;210.91;2109.1;Bretagne;Chèque
100049;2025-10-02;Goncalves;Point d'accès WiFi;Réseau;30;372.49;11174.7;Grand Est;Carte
100050;2026-04-23;Bègue Didier S.A.R.L.;Clavier mécanique;Informatique;38;409.6;30808.6;Auvergne-Rhône-Alpes;Virement
100051;25/01/2025;François;Point d'accès WiFi;Réseau;33;96.54;3185.82;Occitanie;
100052;08/10/2025;François;Ramette papier A4;Bureau;8;280.68;2245.44;Grand Est;
100053;18/08/2026;Meyer;Chaise ergonomique;Mobilier;7;139.94;1570.63;Occitanie;Virement
100054;2024-11-30;Guilbert S.A.;Café 1kg;Consommables;8;49.94;399.52;Occitanie;Chèque
100055;2026-07-17;Ledoux Marques SA;Câble RJ45 5m;Réseau;33;455.06;15016.98;Bretagne;Prélèvement
100056;2026-01-07;Vasseur;Chaise ergonomique;Mobilier;20;214.6;4292.0;Bretagne;Chèque
100057;2025-04-28;Moulin;Câble RJ45 5m;Réseau;12;337.51;4050.12;Grand Est;Virement
100058;24/06/2026;Joly Gallet SA;Souris sans fil;Informatique;5;832.51;4162.55;Grand Est;Prélèvement
100059;2026-01-18;Guillon;Point d'accès WiFi;Réseau;10;722.22;7222.2;Bretagne;Chèque
100060;2025-10-08;Rey Bodin S.A.S.;Lingettes écran;Consommables;29;483.39;14018.31;Grand Est;Prélèvement
100061;2025-12-26;Bertrand;Câble RJ45 5m;Réseau;31;576.33;17866.23;Île-de-France;Virement
100062;2025-02-10;Regnier;Bureau assis-debout;;7;210.85;1475.95;Occitanie;Carte
100063;2025-01-05;Bertrand;Café 1kg;Consommables;17;617.8;10502.6;Bretagne;Prélèvement
100064;2025-06-26;Verdier;Lingettes écran;Consommables;34;296.87;10093.58;Grand Est;Prélèvement
100065;2026-04-24;François;Bureau assis-debout;Mobilier;8;480.38;3843.04;Île-de-France;Carte
100066;2025-01-12;Pruvost;Clavier mécanique;Informatique;2;625.93;1251.86;Grand Est;Virement
100067;01/11/2025;Maury S.A.R.L.;Câble RJ45 5m;Réseau;25;653.69;16342.25;Occitanie;Prélèvement
100068;2026-05-06;Letellier;Café 1kg;Consommables;38;721.19;27405.22;Occitanie;Prélèvement
100069;2026-08-26;Vallet Guilbert S.A.S.;Point d'accès WiFi;Réseau;37;229.54;8492.98;Île-de-France;Virement
100070;2025-10-25;Guilbert S.A.;Bureau assis-debout;Mobilier;7;509.33;3565.31;Occitanie;Carte
100071;2026-08-23;Pottier Germain SA;Gobelets x100;Consommables;29;719.72;20871.88;Auvergne-Rhône-Alpes;Chèque
100072;09/09/2024;Martinez SA;Souris sans fil;Informatique;33;107.16;3536.28;Occitanie;Chèque
100073;2025-12-18;Pottier Germain SA;Gobelets x100;Consommables;36;604.77;21771.72;Bretagne;Prélèvement
100074;2025-05-18;Rocher Briand SARL;Point d'accès WiFi;;25;329.04;8226.0;Auvergne-Rhône-Alpes;Virement
100075;2025-09-23;Vallet Guilbert S.A.S.;Switch 8 ports;Réseau;4;395.24;1580.96;Île-de-France;Chèque
100076;2024-09-24;Vallet Guilbert S.A.S.;Clavier mécanique;Informatique;38;702.71;48136.07;Île-de-France;Carte
100077;04/12/2024;Joubert Chauveau S.A.;Lingettes écran;Consommables;1;856.17;856.17;Auvergne-Rhône-Alpes;Prélèvement
100078;2026-08-31;Martinez SA;Câble RJ45 5m;Réseau;5;530.26;2651.3;Occitanie;Virement
100079;2025-06-17;Duhamel Wagner SARL;"Écran 27""";Informatique;29;267.23;7749.67;Auvergne-Rhône-Alpes;Carte
100080;23/07/2026;Joly;"Écran 27""";Informatique;21;703.6;14775.6;Auvergne-Rhône-Alpes;
100081;16/06/2026;Meyer;Souris sans fil;Informatique;27;753.53;20345.31;Bretagne;Prélèvement
100082;2026-05-28;Leconte Da Costa et Fils;Clavier mécanique;Informatique;6;83.22;499.32;Grand Est;Virement
100083;2025-05-05;Rey Bodin S.A.S.;Ramette papier A4;Bureau;18;699.54;12591.72;Île-de-France;Prélèvement
100084;13/03/2025;Moulin;Agrafeuse;Bureau;36;6.88;247.68;Grand Est;Chèque
100085;23/10/2024;Robert;Point d'accès WiFi;Réseau;38;764.77;29061.26;Bretagne;Prélèvement
100086;2025-03-15;Pottier Germain SA;Point d'accès WiFi;Réseau;5;628.91;3144.55;Occitanie;Virement
100087;2026-07-22;Martinez SA;Chaise ergonomique;Mobilier;5;455.07;3040.29;Occitanie;Chèque
100088;2025-11-23;Guilbert S.A.;Souris sans fil;Informatique;18;661.69;11910.42;Île-de-France;Carte
100089;09/11/2024;Guillon;Clavier mécanique;Informatique;21;551.17;11574.57;Île-de-France;Chèque
100090;2024-11-14;Meunier;Ordinateur portable;Informatique;9;639.2;5752.8;Auvergne-Rhône-Alpes;Virement
100091;2026-03-31;Guillon;Café 1kg;Consommables;15;413.79;6206.85;Auvergne-Rhône-Alpes;Chèque
100092;2025-09-21;Rey Bodin S.A.S.;Câble RJ45 5m;Réseau;18;851.53;15327.54;Occitanie;Chèque
100093;04/06/2026;Monnier;Caisson tiroirs;Mobilier;11;846.65;9313.15;Occitanie;Chèque
100094;01/11/2024;Techer;Gobelets x100;Consommables;36;109.06;3926.16;Grand Est;Carte
100095;2026-04-22;Hoareau SA;"Écran 27""";Informatique;24;550.67;13216.08;Grand Est;Carte
100096;2025-10-27;Pruvost;"Écran 27""";Informatique;33;530.3;17499.9;Grand Est;Virement
100097;2026-04-26;Techer;Cartouche encre;Bureau;19;204.58;3887.02;Auvergne-Rhône-Alpes;Chèque
100098;2024-12-15;Monnier;Caisson tiroirs;Mobilier;22;587.88;12933.36;Auvergne-Rhône-Alpes;Prélèvement
100099;2024-12-17;Hoareau SA;Agrafeuse;Bureau;8;564.16;4513.28;Grand Est;Chèque
100100;2026-02-03;Meunier;Point d'accès WiFi;Réseau;22;829.11;18240.42;Bretagne;Chèque
100101;2025-09-13;Ledoux Marques SA;Bloc-notes;Bureau;10;753.97;7539.7;Île-de-France;Virement
100102;2025-11-10;Duhamel Wagner SARL;Ordinateur portable;Informatique;34;51.9;1764.6;Occitanie;Carte
100103;15/01/2025;Ledoux Marques SA;Chaise ergonomique;Mobilier;29;668.94;19399.26;Occitanie;
100104;2025-04-02;Barre;Lingettes écran;Consommables;17;139.94;2378.98;Bretagne;Virement
100105;2025-10-23;Letellier;Bureau assis-debout;Mobilier;20;895.93;17918.6;Occitanie;Carte
100106;2026-07-18;Joubert Chauveau S.A.;Lingettes écran;Consommables;-2;350.28;2101.68;Auvergne-Rhône-Alpes;Virement
100107;2025-12-24;Leleu Charpentier SA;Café 1kg;Consommables;30;149.05;4471.5;Occitanie;Prélèvement
100368;2026-02-24;Roussel Gillet SARL;Café 1kg;Consommables;9;140.55;1264.95;Grand Est;Virement
100108;2025-08-03;Roussel Gillet SARL;Point d'accès WiFi;Réseau;38;755.48;28708.24;Bretagne;Virement
100109;2025-02-20;Bertrand;Bureau assis-debout;Mobilier;33;73.88;2438.04;Île-de-France;Carte
100876;2025-03-16;Ledoux Marques SA;Câble RJ45 5m;Réseau;31;204.12;6327.72;Île-de-France;
100110;2026-08-31;Guilbert S.A.;Bureau assis-debout;Mobilier;36;164.47;5920.92;Grand Est;Virement
100111;2025-11-01;Meyer;Café 1kg;Consommables;8;442.2;3537.6;Bretagne;Carte
100112;2026-04-18;Robert;Ordinateur portable;Informatique;11;759.54;8354.94;Occitanie;Chèque
100113;2026-03-29;Pottier Germain SA;Caisson tiroirs;Mobilier;31;54.18;1679.58;Bretagne;Chèque
100114;2026-02-26;Duhamel Wagner SARL;Câble RJ45 5m;Réseau;37;435.35;16107.95;Bretagne;Prélèvement
100115;2025-02-12;Joly;Agrafeuse;Bureau;17;529.24;8997.08;Auvergne-Rhône-Alpes;Carte
100116;2026-03-16;Leleu Charpentier SA;Bureau assis-debout;Mobilier;34;96.27;3273.18;Grand Est;Prélèvement
100117;2025-05-09;Vasseur;Gobelets x100;Consommables;16;306.29;4900.64;Auvergne-Rhône-Alpes;Virement
100118;2025-07-15;Hoareau SA;Lingettes écran;Consommables;27;278.17;7510.59;Occitanie;Virement
100119;2026-02-12;Joubert Chauveau S.A.;Chaise ergonomique;Mobilier;7;571.13;3997.91;Grand Est;Chèque
100120;2026-01-26;Pottier Germain SA;Câble RJ45 5m;Réseau;39;813.19;31714.41;Auvergne-Rhône-Alpes;Prélèvement
100121;2025-06-26;Bègue Didier S.A.R.L.;Lingettes écran;Consommables;18;104.47;1880.46;Grand Est;Carte
100122;2025-08-15;Leconte Da Costa et Fils;Gobelets x100;Consommables;38;872.89;33169.82;Île-de-France;Carte
100123;08/08/2026;Pinto Gillet SARL;Point d'accès WiFi;Réseau;38;313.15;11899.7;Auvergne-Rhône-Alpes;Virement
100124;2025-10-16;Verdier;Caisson tiroirs;Mobilier;38;887.02;33706.76;Auvergne-Rhône-Alpes;Prélèvement
100125;2025-08-25;David Gomes S.A.R.L.;Cartouche encre;Bureau;3;78.17;234.51;Occitanie;Prélèvement
100126;2024-12-11;François;Bloc-notes;Bureau;18;35.2;633.6;Grand Est;Virement
100127;2025-03-20;Raynaud et Fils;Ramette papier A4;Bureau;37;642.51;23772.87;Île-de-France;Prélèvement
100128;2025-03-02;François;Lingettes écran;Consommables;16;45.97;735.52;Île-de-France;Chèque
100129;2024-10-28;Laurent et Fils;Bloc-notes;Bureau;18;464.14;8354.52;Occitanie;Virement
100130;2025-05-29;Meunier;Gobelets x100;Consommables;28;605.11;16943.08;Occitanie;Prélèvement
100131;2024-09-25;Bègue Didier S.A.R.L.;Bureau assis-debout;Mobilier;31;270.45;8383.95;Occitanie;Carte
100132;09/12/2025;Meunier;"Écran 27""";Informatique;22;170.46;3750.12;Bretagne;Carte
100133;2025-11-13;François;Caisson tiroirs;Mobilier;17;898.87;15280.79;Bretagne;Carte
100134;2025-03-06;Roussel Gillet SARL;Chaise ergonomique;Mobilier;5;897.83;4489.15;Bretagne;Chèque
100135;10/12/2025;Joly;"Écran 27""";Informatique;20;448.23;8964.6;Île-de-France;Carte
100136;2025-02-27;Pruvost;Ordinateur portable;Informatique;14;17.87;250.18;Grand Est;Chèque
100137;2024-09-14;Regnier;Câble RJ45 5m;Réseau;18;863.37;15540.66;Occitanie;
100138;2024-11-03;Meunier;Switch 8 ports;Réseau;14;213.12;2983.68;Grand Est;Prélèvement
100139;2026-03-12;Pinto Gillet SARL;Agrafeuse;Bureau;39;532.49;20767.11;Île-de-France;Carte
100593;2025-08-18;Ledoux Marques SA;Câble RJ45 5m;Réseau;14;256.55;3591.7;Grand Est;Virement
100140;2026-01-12;Ledoux Marques SA;Switch 8 ports;Réseau;12;141.59;1699.08;Île-de-France;Carte
100141;2024-10-24;David Gomes S.A.R.L.;Clavier mécanique;Informatique;10;705.87;7058.7;Grand Est;Carte
100142;2025-03-05;Leconte Da Costa et Fils;Point d'accès WiFi;Réseau;23;733.55;16871.65;Auvergne-Rhône-Alpes;Prélèvement
100143;2024-10-31;Roussel Gillet SARL;Chaise ergonomique;Mobilier;7;93.5;654.5;Auvergne-Rhône-Alpes;Prélèvement
100144;2026-08-13;Hoareau SA;Gobelets x100;Consommables;37;34.19;1265.03;Bretagne;Virement
100145;2024-10-03;Robert;Ramette papier A4;Bureau;2;60.85;150.6;Auvergne-Rhône-Alpes;Chèque
100146;2026-07-08;Joly Gallet SA;Café 1kg;Consommables;2;102.22;204.44;Bretagne;
100147;2025-05-23;Pruvost;Point d'accès WiFi;Réseau;18;273.26;4918.68;Auvergne-Rhône-Alpes;Carte
100148;03/11/2024;Martinez SA;Ordinateur portable;Informatique;12;776.76;9321.12;Île-de-France;Chèque
100149;2025-10-13;Gillet SA;Cartouche encre;Bureau;2;389.33;778.66;Occitanie;Prélèvement
100150;2025-03-12;Ledoux Marques SA;Chaise ergonomique;Mobilier;9;219.75;1977.75;Grand Est;Chèque
100151;13/04/2025;Gillet SA;Ramette papier A4;Bureau;30;837.49;25124.7;Occitanie;Carte
100152;10/02/2026;Guilbert S.A.;Point d'accès WiFi;Réseau;8;44.54;356.32;Île-de-France;
100153;21/09/2025;Vasseur;Ordinateur portable;Informatique;37;30.09;1113.33;Bretagne;Chèque
100154;2025-02-22;Roussel Gillet SARL;Chaise ergonomique;Mobilier;4;532.0;2128.0;Occitanie;Virement
100155;2025-11-01;Goncalves;Bloc-notes;Bureau;21;148.14;3110.94;Grand Est;Prélèvement
100156;2024-12-20;Joly;Cartouche encre;Bureau;10;410.1;4101.0;Grand Est;Prélèvement
100157;2026-03-24;François;"Écran 27""";;29;287.92;8349.68;Île-de-France;Chèque
100158;05/09/2026;Regnier;Ramette papier A4;Bureau;21;287.24;6032.04;Grand Est;Virement
100159;2026-07-26;Laurent et Fils;Gobelets x100;Consommables;15;150.61;2259.15;Grand Est;
100160;2025-11-26;Ledoux Marques SA;Agrafeuse;Bureau;33;801.24;26440.92;Auvergne-Rhône-Alpes;Virement
100161;2025-11-30;Raynaud et Fils;Café 1kg;Consommables;27;157.3;4247.1;Île-de-France;Prélèvement
100162;2025-09-11;Laurent et Fils;Ramette papier A4;Bureau;37;893.79;33070.23;Auvergne-Rhône-Alpes;Virement
100163;2025-03-16;Meunier;Caisson tiroirs;Mobilier;4;483.51;1934.04;Île-de-France;Carte
100164;2026-05-11;Bousquet;Café 1kg;Consommables;18;266.69;4800.42;Grand Est;Prélèvement
100165;2025-09-11;Bousquet;Ordinateur portable;Informatique;3;209.69;629.07;Grand Est;Carte
100166;2026-05-29;Roussel Gillet SARL;Gobelets x100;Consommables;8;357.76;2862.08;Occitanie;Chèque
100167;2025-07-22;Pottier Germain SA;Gobelets x100;Consommables;11;885.11;9736.21;Grand Est;Chèque
100168;2025-02-03;David Gomes S.A.R.L.;Switch 8 ports;Réseau;2;469.17;938.34;Grand Est;Virement
100169;21/11/2024;Bertrand;Lingettes écran;Consommables;26;614.96;15988.96;Auvergne-Rhône-Alpes;Prélèvement
100170;2024-11-23;Vasseur;Ramette papier A4;Bureau;27;773.37;20880.99;Auvergne-Rhône-Alpes;Virement
100171;2026-02-02;Pinto Gillet SARL;Cartouche encre;Bureau;35;790.77;27676.95;Occitanie;
100172;2025-08-09;Pinto Gillet SARL;Clavier mécanique;Informatique;26;705.1;18332.6;Occitanie;Virement
100173;11/06/2025;Bègue Didier S.A.R.L.;Lingettes écran;Consommables;28;718.69;20123.32;Île-de-France;Virement
100174;2025-08-04;Laurent et Fils;Caisson tiroirs;Mobilier;18;881.34;15864.12;Grand Est;Chèque
100175;2025-07-25;Bertrand;Point d'accès WiFi;Réseau;25;288.58;7214.5;Occitanie;Chèque
100176;2025-09-06;Goncalves;Cartouche encre;Bureau;1;841.97;841.97;Île-de-France;Virement
100177;2026-07-11;Bertrand;Cartouche encre;Bureau;15;119.74;1796.1;Auvergne-Rhône-Alpes;Chèque
100178;29/03/2026;Letellier;"Écran 27""";Informatique;1;220.75;220.75;Occitanie;Prélèvement
100179;2024-10-21;Meyer;Caisson tiroirs;Mobilier;14;183.48;2568.72;Occitanie;Chèque
100180;2026-02-14;Rocher Briand SARL;"Écran 27""";Informatique;18;42.57;766.26;Île-de-France;Prélèvement
100181;2026-01-29;Verdier;Agrafeuse;Bureau;27;101.4;2737.8;Île-de-France;Carte
100182;2026-01-23;Meunier;Bloc-notes;Bureau;12;811.67;9740.04;Bretagne;Prélèvement
100183;2024-11-24;Joly Gallet SA;Bloc-notes;Bureau;23;125.74;2892.02;Auvergne-Rhône-Alpes;Chèque
100184;2024-10-26;Duhamel Wagner SARL;Chaise ergonomique;Mobilier;32;555.85;17787.2;Occitanie;Virement
100331;2025-06-23;Pruvost;Bureau assis-debout;Mobilier;37;762.31;35021.91;Auvergne-Rhône-Alpes;
100185;2025-07-18;Guilbert S.A.;"Écran 27""";Informatique;18;767.04;13806.72;Occitanie;Chèque
100186;2026-03-28;Barre;Café 1kg;Consommables;34;365.56;12429.04;Île-de-France;Prélèvement
100187;2025-05-30;Vallet Guilbert S.A.S.;Ordinateur portable;Informatique;24;110.35;2648.4;Bretagne;Virement
100188;2026-05-23;Duhamel Wagner SARL;Cartouche encre;Bureau;7;163.18;1142.26;Île-de-France;Carte
100189;2026-07-10;Joubert Chauveau S.A.;Ordinateur portable;Informatique;35;766.5;26827.5;Bretagne;Carte
100190;2024-12-02;Robert;Bureau assis-debout;Mobilier;29;221.83;6433.07;Île-de-France;Prélèvement
100191;2025-03-21;David Gomes S.A.R.L.;Souris sans fil;;1;466.86;466.86;Occitanie;Chèque
100192;04/02/2025;Hoareau SA;Agrafeuse;Bureau;33;120.32;3970.56;Île-de-France;Prélèvement
100193;2025-02-03;Letellier;"Écran 27""";Informatique;33;148.89;4913.37;Grand Est;Virement
100194;2025-10-30;Moulin;"Écran 27""";;35;108.82;3808.7;Île-de-France;Carte
100195;2025-08-23;Techer;Câble RJ45 5m;Réseau;3;361.61;1084.83;Bretagne;Virement
100196;2024-12-26;François;Point d'accès WiFi;Réseau;6;667.97;4007.82;Grand Est;Virement
100197;2025-08-02;Gillet SA;Point d'accès WiFi;;27;47.0;1269.0;Île-de-France;Prélèvement
100198;2025-01-29;Pottier Germain SA;Gobelets x100;Consommables;3;714.68;2144.04;Auvergne-Rhône-Alpes;Prélèvement
100199;2025-04-13;Monnier;Bureau assis-debout;Mobilier;12;4.07;48.84;Auvergne-Rhône-Alpes;Carte
100200;2025-09-03;Techer;Switch 8 ports;Réseau;16;117.87;1885.92;Bretagne;
100201;2025-03-22;Joly;Bureau assis-debout;Mobilier;6;288.6;1731.6;Bretagne;Carte
100202;2026-07-20;Bousquet;Agrafeuse;Bureau;26;426.56;11090.56;Occitanie;Carte
100203;27/08/2026;Raynaud et Fils;Chaise ergonomique;Mobilier;4;761.71;3046.84;Grand Est;Carte
100204;2024-11-06;Pinto Gillet SARL;Bloc-notes;Bureau;30;892.64;26779.2;Bretagne;Chèque
100205;2025-08-19;Vallet Guilbert S.A.S.;"Écran 27""";;15;330.97;4964.55;Auvergne-Rhône-Alpes;Carte
100206;2026-05-29;Joubert Chauveau S.A.;Câble RJ45 5m;Réseau;6;459.02;2754.12;Auvergne-Rhône-Alpes;Carte
100207;2026-07-10;Gillet SA;Clavier mécanique;Informatique;16;368.52;5896.32;Auvergne-Rhône-Alpes;Virement
100208;2026-07-05;Leconte Da Costa et Fils;Switch 8 ports;Réseau;13;590.65;7678.45;Auvergne-Rhône-Alpes;Virement
100209;2025-11-10;Vasseur;Switch 8 ports;Réseau;32;700.78;22424.96;Bretagne;Virement
100210;24/11/2024;Rey Bodin S.A.S.;Point d'accès WiFi;Réseau;7;249.09;1743.63;Auvergne-Rhône-Alpes;Carte
100211;2024-10-18;Joly;Agrafeuse;Bureau;36;183.87;6619.32;Occitanie;Chèque
100212;2026-01-28;Goncalves;Lingettes écran;Consommables;23;231.09;5315.07;Île-de-France;Carte
100213;02/11/2025;Bertrand;Lingettes écran;Consommables;21;617.51;12967.71;Occitanie;Carte
100214;2026-06-20;Goncalves;Lingettes écran;Consommables;38;400.66;15225.08;Grand Est;Prélèvement
100215;2024-09-20;Leleu Charpentier SA;Cartouche encre;Bureau;34;441.86;15023.24;Grand Est;Carte
100216;2024-11-20;Joly;Switch 8 ports;Réseau;16;831.64;13306.24;Grand Est;Prélèvement
100217;2026-08-29;Pottier Germain SA;Clavier mécanique;Informatique;39;686.81;26785.59;Bretagne;
100218;2026-04-17;Monnier;Café 1kg;Consommables;24;261.81;6283.44;Occitanie;Chèque
100219;2026-06-30;Pruvost;Cartouche encre;Bureau;12;734.82;8817.84;Occitanie;Virement
100220;2025-03-11;Gillet SA;Ramette papier A4;Bureau;2;718.16;2479.54;Auvergne-Rhône-Alpes;
100221;2025-01-16;Martinez SA;Lingettes écran;Consommables;24;352.28;8454.72;Auvergne-Rhône-Alpes;Virement
100222;2025-07-21;Regnier;Switch 8 ports;Réseau;2;558.46;1116.92;Auvergne-Rhône-Alpes;Prélèvement
100223;2025-09-21;Rey Bodin S.A.S.;Café 1kg;Consommables;37;712.08;26346.96;Occitanie;Prélèvement
100224;2025-09-17;Martinez SA;Agrafeuse;Bureau;18;749.61;13492.98;Île-de-France;Carte
100225;2025-02-22;Fischer Muller SA;Bureau assis-debout;Mobilier;10;618.17;6181.7;Île-de-France;Prélèvement
100226;2026-07-12;Fischer Muller SA;Souris sans fil;;2;87.49;284.23;Île-de-France;Prélèvement
100227;17/07/2025;Techer;Cartouche encre;Bureau;12;383.45;4601.4;Auvergne-Rhône-Alpes;Chèque
100228;2026-08-10;David Gomes S.A.R.L.;Gobelets x100;Consommables;13;749.24;9740.12;Grand Est;Carte
100229;2024-10-24;Pinto Gillet SARL;Cartouche encre;Bureau;10;721.65;7216.5;Auvergne-Rhône-Alpes;Prélèvement
100230;2025-01-14;Meunier;Ramette papier A4;Bureau;23;88.29;2030.67;Auvergne-Rhône-Alpes;Chèque
100231;2025-06-30;Joly Gallet SA;Ramette papier A4;Bureau;20;2.47;49.4;Grand Est;
100232;2024-09-10;Leconte Da Costa et Fils;Ordinateur portable;Informatique;14;741.17;10376.38;Île-de-France;Virement
100233;2025-07-09;François;Souris sans fil;Informatique;11;485.97;5345.67;Île-de-France;Virement
100234;2025-04-02;Pinto Gillet SARL;Bureau assis-debout;Mobilier;22;233.19;5130.18;Auvergne-Rhône-Alpes;Chèque
100235;2026-08-29;Techer;Caisson tiroirs;Mobilier;28;332.38;9306.64;Bretagne;Virement
100236;2026-05-11;Martinez SA;Lingettes écran;Consommables;38;79.21;3009.98;Île-de-France;Virement
100237;11/05/2026;Bertrand;Souris sans fil;Informatique;3;891.37;2674.11;Grand Est;Chèque
100238;2025-08-28;Bertrand;"Écran 27""";Informatique;36;787.83;28361.88;Grand Est;Prélèvement
100239;2025-04-18;Pruvost;Chaise ergonomique;Mobilier;25;591.15;14778.75;Auvergne-Rhône-Alpes;Chèque
100240;2025-08-03;Roussel Gillet SARL;Clavier mécanique;Informatique;30;746.04;22381.2;Occitanie;Virement
100241;2026-03-04;Goncalves;Chaise ergonomique;Mobilier;37;438.6;16228.2;Auvergne-Rhône-Alpes;Carte
